conname,contype,src_table,src_cols,tgt_table,tgt_cols,confdeltype
product_uom_uom_id_fkey,f,product_uom,uom_id,uom_uom,id,c
product_uom_write_uid_fkey,f,product_uom,write_uid,res_users,id,n
product_uom_pkey,p,product_uom,id,,, 
product_uom_barcode_uniq,u,product_uom,barcode,,, 
product_variant_combination_product_product_id_fkey,f,product_variant_combination,product_product_id,product_product,id,c
product_variant_combination_product_template_attribute_val_fkey,f,product_variant_combination,product_template_attribute_value_id,product_template_attribute_value,id,r
product_variant_combination_pkey,p,product_variant_combination,"product_product_id,product_template_attribute_value_id",,, 
project_collaborator_create_uid_fkey,f,project_collaborator,create_uid,res_users,id,n
project_collaborator_partner_id_fkey,f,project_collaborator,partner_id,res_partner,id,r
project_collaborator_project_id_fkey,f,project_collaborator,project_id,project_project,id,r
project_collaborator_write_uid_fkey,f,project_collaborator,write_uid,res_users,id,n
project_collaborator_pkey,p,project_collaborator,id,,, 
project_collaborator_unique_collaborator,u,project_collaborator,"project_id,partner_id",,, 
project_favorite_user_rel_project_id_fkey,f,project_favorite_user_rel,project_id,project_project,id,c
project_favorite_user_rel_user_id_fkey,f,project_favorite_user_rel,user_id,res_users,id,c
project_favorite_user_rel_pkey,p,project_favorite_user_rel,"project_id,user_id",,, 
project_milestone_create_uid_fkey,f,project_milestone,create_uid,res_users,id,n
project_milestone_project_id_fkey,f,project_milestone,project_id,project_project,id,c
project_milestone_write_uid_fkey,f,project_milestone,write_uid,res_users,id,n
project_milestone_pkey,p,project_milestone,id,,, 
project_project_account_id_fkey,f,project_project,account_id,account_analytic_account,id,n
project_project_alias_id_fkey,f,project_project,alias_id,mail_alias,id,r
project_project_company_id_fkey,f,project_project,company_id,res_company,id,n
project_project_create_uid_fkey,f,project_project,create_uid,res_users,id,n
project_project_last_update_id_fkey,f,project_project,last_update_id,project_update,id,n
project_project_partner_id_fkey,f,project_project,partner_id,res_partner,id,n
project_project_stage_id_fkey,f,project_project,stage_id,project_project_stage,id,r
project_project_user_id_fkey,f,project_project,user_id,res_users,id,n
project_project_write_uid_fkey,f,project_project,write_uid,res_users,id,n
project_project_pkey,p,project_project,id,,, 
project_project_project_tags_rel_project_project_id_fkey,f,project_project_project_tags_rel,project_project_id,project_project,id,c
project_project_project_tags_rel_project_tags_id_fkey,f,project_project_project_tags_rel,project_tags_id,project_tags,id,c
project_project_project_tags_rel_pkey,p,project_project_project_tags_rel,"project_project_id,project_tags_id",,, 
project_project_project_task__project_task_type_delete_wiz_fkey,f,project_project_project_task_type_delete_wizard_rel,project_task_type_delete_wizard_id,project_task_type_delete_wizard,id,c
project_project_project_task_type_delet_project_project_id_fkey,f,project_project_project_task_type_delete_wizard_rel,project_project_id,project_project,id,c
project_project_project_task_type_delete_wizard_rel_pkey,p,project_project_project_task_type_delete_wizard_rel,"project_task_type_delete_wizard_id,project_project_id",,, 
project_project_stage_company_id_fkey,f,project_project_stage,company_id,res_company,id,n
project_project_stage_create_uid_fkey,f,project_project_stage,create_uid,res_users,id,n
project_project_stage_mail_template_id_fkey,f,project_project_stage,mail_template_id,mail_template,id,n
project_project_stage_sms_template_id_fkey,f,project_project_stage,sms_template_id,sms_template,id,n
project_project_stage_write_uid_fkey,f,project_project_stage,write_uid,res_users,id,n
project_project_stage_pkey,p,project_project_stage,id,,, 
